,text,gov
232,"Tikehau Capital is a Director on the Board of Directors of Claranet International Limited, parent company of the Claranet group and Director on the Board of Directors of Claranet Group Limited, Claranet group’s operating company.",0
233,"Pioneer in the clean energy value chain sector – Total Eren seeks to create and respond to new opportunities to deploy its fleet of power stations internationally, in countries committed to extending their generation capacity using renewables, or to energy-hungry industrial clients looking to cut the cost and environmental impact of their power supply.",0
234,"ESG Short for “Environmental, Social and Governance”.",1
235,Legislation in the UK governing the preparation and dissemination of financial statements may differ from legislation in other jurisdictions.,0
236,"In particular, we announced that we target an adjusted costincome ratio of ~70% by the end of 2019 on the assumption of flat revenues year-on-year.",0
237,As a result an analysis of the Group’s assets by contractual maturity is not considered appropriate to evaluate the nature and extent of the Group’s liquidity risk.,0
238,"When referring to our investment net zero targets this includes Scopes 1, 2 and 3 carbon emissions (including investments, operations, supply chain).",0
239,"The awards total £1,070,000 and will be converted into a number of shares subject to award based upon the share price following the announcement of the Group’s results for the year.",0
240,The model produces key outputs of Value at Risk and Temperature Alignment for each year of the projection period.,0
241,A shareholder may appoint more than one proxy in relation to the Annual General Meeting provided that each proxy is appointed to exercise the rights attached to a different share or shares held by that shareholder.,0
242,An insurance policy for fire or flooding mitigates the associated financial risk.,0
243,"In total, 495 Group staff from 10 countries enrolled in the eleventh cycle that began in November 2019.",0
244,"To this end, the authorised intermediary and account-holder notifies the Company or its representative of the transfer of ownership and provides all necessary information.",0
245,The company is benefiting from the growing proportion of electrical and electronic components in vehicles and from the trend among original equipment manufacturers (OEMs) and suppliers towards outsourcing parts of their production.,0
246,During 2021 we made changes to our offices to reflect how our colleagues will use our spaces moving forward.,0
247,"In 2013, on average, approximately 18 hours of training were followed per employee.",0
248,The Board sets out its investment policies on page 34.,0
249,"Management incentives are now closely aligned to returning capital to shareholders through asset sales, which we believe is key to extracting value from this company.",0
250,ESG focus Environmental and climate issues have been a focus of the Board’s agenda in 2021.,1
251,Normal market conditions apply.,0
252,"Compensation expense is recorded on a straight-line basis over the period in which employees perform services to which the awards relate, or over the period of the tranches for those awards delivered in tranches.",0
253,All shares in Deutsche Beteiligungs AG are no-par value registered shares in financial year 2016/2017.,0
254,"In some geographies there is limited data and incomplete historical monitoring, and so the model is enhanced using simulated events set to forecast the impact of projected climate perils.",0
255,"However, based on its business activity, DBAG has the economic intention of providing finances to the co-investment vehicles in cases of investment decisions by DBAG funds for the purposes of profitably investing its capital and of aligning its interest with that of the fund investors.",0
256,"In addition, the applicable regulations could hinder the development of the Group’s business, increase its operating costs or prevent it from implementing its development or reorganisation plans.",0
257,It also produces hand-moulded castings of highly sophisticated engine blocks (cylinder crankcases) for large diesel and gas engines.,0
258,Evaluates the appropriateness of accounting policies used andP the reasonableness of accounting estimates and related disclosures made by management in the consolidated financial statements.,0
259,"Where hot-spots have been identified, we will undertake further analysis to evaluate asset specific exposure and climate resilience.",0
260,"Risk assessments We have an Environmental Policy which is applicable to all of our offices internationally which details the requirements we have set for our own environmental footprint from the operation of our buildings, business related travel and our supply chain.",0
261,The companies are governed by French law unless otherwise stated.,0
262,We have formal processes of training and accreditation to advance and motivate our employees in order to support the continuity of our client engagement business model.,0
263,Personal accident is a cover provided by SCOR Global Life.,0
264,"Here, there are no new climate policies introduced beyond those already implemented.",0
265,Aspire is providing 12-month secondments in investment and client focused distribution roles.,0
266,Our priority for 2022 is to develop an appropriate NZAOA interim carbon emission reduction target for 2030 and will continue to build on this with the addition of targets for our externally-managed portfolios.,0
267,"The expected benefits from future or completed acquisitions may not materialise in the timeframe and at levels expected and could affect the financial position and earnings of Tikehau Capital, as well as its prospects.",0
268,"In addition, the emergence of details of a new COVID variant, Omicron, in late November also contributed to spreads widening.",0
269,DB Group has an independent specialised valuation control group within its Finance function which governs and develops the valuation control framework and manages the valuation control processes which covers the valuation of financial instruments across all levels of the fair value hierarchy.,0
270,"Since these contracts are easily renewable, the cost of renewal is minimal, and they have a long history of renewal, these agreements are not expected to have a foreseeable limit on the contract period.",0
271,"Filling carbon data gaps In order to understand and manage climate risk in our investment portfolios, and guide our transition towards net zero, we need to be able to assess and monitor portfolio level carbon emissions closely.",0
272,"In this context, the Group's recruitment policy aims to promote, wherever possible, applications from women, whenever there are vacancies, and particularly for investment roles.",0
273,"As a result, more countries are deferring the statutory retirement age, which in turn is leading to a widening savings gap.",0
274,Unit value of the share on the allocation date: €23.74 corresponding to the share price on 29 March 2018 (€25.80) to which an 8% discount is applied to take into account the absence of dividend rights over the vesting period.,0
275,During 2021 we delivered many sessions on this topic to leaders and their teams.,0
276,"The Head of Risk is responsible for the organisation of this Committee, and in particular has the role of ensuring (i) the presence and participation of its members, (ii) the quality of the valuation documents presented and the consistency of the methods used, and (iii) that decisions on valuations adopted are written up in reports.",0
277,Governance manuals have been updated in response to the Board’s Governance review.,1
278,"In January 2019, one-off IPO related awards under the DWS Equity Plan - DWS Performance Share Units (PSUs) were granted to each Executive Board member in the amount of € 1,000,000 (for full-time employment).",0
279,"The term ‘segment manager’ also identifies a function, not necessary a single manager with a specific title.",0
280,The Group has set out its commitments under the Paris objective to net zero carbon emissions by 2030 within their own business and 2050 across all investments portfolios in Climate change and TCFD disclosures on page 45.,1
281,We currently operate in these markets under the P-Solve and Meridian brands.,0
282,"Created in 1828, Bureau Veritas is a global leader in Testing, Inspection and Certification (‘TIC’), delivering high quality services to help clients meet the growing challenges of quality, safety, environmental protection and social responsibility.",0
283,"This included 862 colleagues who dedicated 7,280 hours of volunteer service in their communities.",0
284,"However, climate is one of many interconnected environmental systems on Earth, which carry potentially catastrophic economic and social risks if human activity puts too much strain on them.",0
285,"In 2018, the Group continued its internationalisation strategy with the opening of an office in New York in 2018 and Tokyo in 2019.",0
286,"Under IAS 19: Employee Benefits and IFRIC 14: IAS 19-The Limit on a Defined Benefit Asset, Minimum Funding Requirements and their Interaction, the Group can only recognise a surplus to the extent that it is able to access the surplus either through an unconditional right of refund or through reduced future contributions relating to ongoing service of active members.",0
287,Both legal restructurings took place as at 1 January 2013.,0
288,"Although it has no legal or regulatory obligation to compensate the losses suffered by its funds, Tikehau Capital could decide on a voluntary basis to provide financial assistance to its funds suffering significant losses, particularly in order to ensure that its clients do not withdraw their assets quickly.",0
289,"Further, the committee received regular reports on the impact of long-term interest rates on DWS Group and discussed related management actions with the Chief Risk Officer.",0
290,"We are a leading asset manager with € 767 billion in assets under management (AuM) as at December 31, 2019.",0
291,"In reaching this conclusion the Board has considered budgeted and projected results of the business including a formal five year plan for the Group with several scenarios, projected cash flow and regulatory capital requirements, and the risks that could impact on the Group’s liquidity and solvency over the next 12 months.",0
292,The audit opinion expressed above is consistent with our report to the Audit Committee.,1
293,The information reported by the Company concerning the remuneration of its corporate officers (Manager and members of the Supervisory Board) are described and justified in Section 4.3.1 (Remuneration of the Manager-General Partner) of this Registration Document.,0
294,"Sustainable investment opportunities In 2021 we grew our Planet + range of sustainably-focused products to 20, with c.£5 billion in AUMA.",0
295,"This improvement is related to the focus on improving investment performance, the development and launch of in demand investment strategies, and proactive steps to deliver investment propositions with more sustainable outcomes.",0
296,"This includes establishing the investment objectives, strategy and benchmarks, the permitted types or categories of investments, the markets in which transactions may be undertaken, the level of permitted gearing and borrowings, the amount or proportion of the assets that may be invested in any category of investment or in any one investment, and the Company’s treasury and share buyback policies.",0
297,The Non-executive Directors Session has been put in place in 2012.,0
298,"While COVID-19 restrictions have made the traditional in-person meetings difficult, we nonetheless view the AGM as a critical point of engagement with shareholders and we strive to ensure your voting support remains at the high levels we have seen in 2021.",0
299,"We have also read the disclosures of climate related information in the front half of the annual report and accounts as set out on pages 44 to 57, and considered consistency with the financial statements and our audit knowledge.",0
300,"Our Catalyst strategy has already committed over £1.2 billion to sustainably-focused private assets, and just after the financial year closed we announced our plans to further bolster our capacity in this area by acquiring a controlling stake in responsAbility, a leading player in impact investing, based in Europe and specialising in emerging markets.",0
301,"The capital reserve comprises, unchanged, amounts achieved in the issuance of shares in excess of the nominal value.",0
302,"Despite the partial data coverage, this gives an indication of how each portfolio might behave in each scenario.",0
303,The four objectives above are equally weighted at 25% of the target figure for the Deutsche Bank Group component of the STA.,0
304,Where necessary the Chairman discusses the responses with each Director individually.,0
305,We were also delighted to announce our new Board Chair on 24 February 2022.,0
306,"All scenario analysis is, by its nature, uncertain.",0
307,We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance.,0
308,"This year, we partnered with the Leonard Cheshire Change 100 scheme, an initiative to support students with disabilities to gain work placements.",0
309,Also a Director of First Integrity Limited and Peckwater Limited.,0
310,Details of the Board’s Committees and their composition are set out on page 44 of this Report.,0
311,The agreed upon procedures did not constitute an audit engagement or a review of the Half Year Report.,1
312,The Board continues to believe that Paul Bradshaw is an independent Chairman for Code purposes.,1
313,"Regulation applicable to UCITS managers Tikehau IM and Sofidy manage and market UCITS in the European Union, and therefore must comply with strict rules on internal organisation, including requirements with regard to risk management and conflicts of interest, as well as rules of good conduct relating in particular to the amount of fees charged or information to be provided to clients.",1
314,"We are convinced that good deals have no wheels, and that local footprint is a key differentiating factor.",0
315,"Where the terms and conditions of options are modified before they vest, the change in the fair value of the options, measured immediately before and after the modifications, is recognised in the consolidated income statement over the remaining vesting period.",0
316,"Our HR Framework includes policies and standards for Diversity and Inclusion, Employee Relations, Remuneration, Talent, Resourcing, Performance and Learning.",0
317,"Dev’s indepth experience of sustainability and finance from his 32-year career at BP – where he led the company’s entry into solar and offshore wind power – and from his current role as Chief Executive Officer of VARO Energy Group AG, will be invaluable to us as M&G continues to embed sustainability in everything we do.",0
318,Most employees expressed alignment with the Group's values.,0
319,The purchase price to be paid per share upon exercise of the put options or upon the maturity of the forward purchase may not exceed by more than 10% or fall below 10% of the average of the share prices (closing auction prices of the DWS share in Xetra trading and/or in a comparable successor system on the Frankfurt Stock Exchange) on the last three stock exchange trading days before conclusion of the respective transaction in each case excluding ancillary purchase costs but taking into account the option premium received.,0
320,"This approach is in line with work done at the level of France Invest, the main French trade association for private investors, on the collaboration between stakeholders.",0
321,"When TREIC invests in vehicles managed by the Group, it is intended that the former will receive 25% of the carried interest from the vehicles concerned.",0
322,We also acknowledged the Board of Management’s risk report.,0
323,It reconciles its participants’ greenhouse gas emissions reduction targets (typically varying by 10% to 75% on scope 1 and 2) with the science-based climate data.,0
324,"The firm’s mandatory all-employee training, which was introduced for Board members in Q4 2021, included sessions on Customer Vulnerability.",0
325,The Executive Board steers DWS KGaA and its subsidiaries based on uniform policies and generally controls the entities of DWS Group within the limits of applicable laws.,1
326,They show the part of the benefit obligations that has been recognised in profit or loss by the reporting date.,0
327,"We have however ensured that the models have good coverage across all key funds and biggest counterparties, and cover three of our most significant asset classes: equities, debt securities and real estate.",0
328,Our success is based on a culture of professionalism and mutual respect.,0
329,"Mr Mathieu Chabran, who are inter alia owners of a portion of the share capital of Tikehau Capital Advisors, does not reflect an executive’s managerial incentive within the meaning of the AFEP-MEDEF Code.",0
330,Weighted Average Carbon Intensity: arithmetical3) average carbon intensities of portfolio companies weighted by their portfolio weights which allows exposure to high emission companies to be assessed.,0
331,"M&G plc will seek authority from its shareholders on an annual basis to issue shares up to a maximum amount, of which a defined number may be issued without preemption.",0
332,The fair value of the performance shares over and above the price paid for them by the employees was charged to the income statement.,0
333,"This study resulted in six patents and a review of the full operational installation: from the preparation of the wood (delivery, cutting and drying), to carbonisation and production of electricity with the pyrolysis gas produced by carbonisation.",0
334,"We have an infrastructure that has the capacity to support additional products and teams, we have the marketing resource, and we are keen to add to our Emerging Market capability, in particular as regards equities and perhaps bonds.",0
335,Our testing identified weaknesses in the design and operation of controls.,0
336,"Therefore the Group would only exit this position in the case of a significant diminution in value, or if the fund was closing or a third party buyer could be found.",0
337,"Where no market data is available for a particular instrument then pricing inputs are determined by assessing other relevant sources of information such as historical data, fundamental analysis of the economics of the transaction and proxy information from similar transactions, and making appropriate adjustments to reflect the actual instrument being valued and current market conditions.",0
338,"This procedure is based on regulations governing Tikehau Capital’s business and generally accepted professional codes of conduct, including key professional associations (AFG, France Invest) of which Tikehau Capital is a member.",1
339,"The bond issue agreement provides that any bondholder may obtain early redemption or repurchase of all or part of the bonds he owns at a price equal to the nominal value of the bonds (or, where applicable, the redemption price) plus accrued interest (See Section 2.2.4 (Liquidity and Capital Resources) of this Registration Document).",0
340,This Section describes the internal control procedures relating to the preparation and processing of Tikehau Capital’s financial and accounting information as they exist as at the registration date of this Registration Document.,1
341,ESG factors when determining our corporate strategy and new business initiatives.,1
342,"The search for return has always been there, but it seems clear that offering higher return ways for investors to increase wealth, at what might be considered a reasonable price, will be an increasing trend going forward.",0
343,"Lastly, it should be stated that around 60 senior corporate members have joined together to invest in a structure which owns an equity interest in Tikehau Capital Advisors and which receives 20% of the carried interest available on the funds managed by the Group.",0
344,The Company is committed to ensuring that any vacancies arising are filled by the most qualified candidates and recognises the value of diversity in the composition of the Board.,0
345,"Deutsche Telekom, which accounted for more than 51% of IREIT’s gross rental income as at 31 December 2018, has set ambitious targets for reducing its energy consumption and won the National German Sustainability Award in 2017.",0
346,Active Capital Management and Operational Efficiency Our seventh strategic priority is Active Capital Management and Operational Efficiency.,0
347,AUM/NUM The growth of our net management fee revenue results from the growth of our assets and notional under management and the stability of our management fees charged to clients.,0
348,"In the Eurozone, the government debt burden in some countries, especially in Italy, is a risk due to the fragile political situation.",0
349,"Tenure, election, reappointment and removal of Directors Directors are typically appointed by the Board and then put forward for election by shareholders at the subsequent AGM.",0
350,Carbonex's biomass power generation projects were selected for the Grenelle de l'Environnement (French environmental pact) in 2010 and for the French Energy Transition for Green Growth Act (wood-energy call for tenders) in 2017.,0
351,It can be considered a guide identifying sector leaders and engagement with the laggards to ultimately bring them into alignment.,0
352,In our opinion CEF’s are consumer products.,0
353,The fair value for the accounts shortfall is calculated with option pricing models using Monte-Carlo simulations including the behavioural risk of the client.,0
354,"Scope 1-2 for the Group This assessment was conducted on Scope 1, covering direct emissions from fixed or mobile sources controlled by the organisation, and Scope 2, covering indirect emissions associated with energy consumption.",0
355,"The Company has exposure to higher-yielding private debt arrangements, which may include debt securities of smaller companies, some of which may be privately owned, and thus may be less transparent in respect of environmental, social and governance and sustainability-related disclosures.",1
356,The spot rate on 21 October 2019 was used for the closing TSR.,0
357,"We receive regular briefings from Internal Audit throughout the year, and ask business owners to attend the Committee to explain actions being taken.",1
358,The financial statements of the material subsidiaries are prepared for the same accounting period as for the parent company.,0
359,The participation of ordinary shareholders in the General Shareholders’ Meeting of the Company takes place under the conditions provided for by law and the stipulations of Article 11.1 of the Company’s Articles of Association (See Section 4.2 (General Shareholders’ Meetings) of this Registration Document).,0
360,"Once every financial year, the Board of Management extensively informs the Audit Committee about DBAG’s risk exposure.",0
361,"The approach taken on external growth is one of flexibility, depending on the opportunities received or perceived and according to the strategy set by the Management, seeking the greatest complementarity with the Group’s existing activities.",0
362,Unit value of the share on the allocation date: €24.30 corresponding to the share price on 4 July 2018 (€27.00) to which a 10% discount was applied to take into account the absence of dividend rights over the vesting period.,0
363,Service Agreement between your company and the company Chardi Inc.,0
364,"Lines are open between 09:00-17:30, Monday to Friday excluding public holidays in England and Wales.",0
365,Certain colleagues have entitlement to higher levels of core benefits retained from their employment prior to 2020.,0
366,"Meantime the Group’s other products experienced different fortunes, with the Developed CEF and Frontier products performing strongly, but the Emerging Markets and Natural Resource equity strategies faring significantly less well.",0
367,Regular reports on investor sentiment and industry issues from the Company’s broker are submitted to the Board.,0
368,"Matters considered during the year During the year under review, the Audit Committee has ensured the effective assessment of the Company’s evolving risk environment, particularly given the continued challenging effects of the COVID-19 pandemic on the market for the majority of the year with markets recovering towards the end of the year.",0
369,"These are available to our analysts and investment teams to help them identify, understand and assess climate risks for different types of assets, drawing on a database of ESG information refreshed daily by our data vendors.",1
370,This capital increase was carried out with preferential subscription rights maintained at a price of €21 per new share and was subscribed in the amount of €239.8 million by cash contribution and €176.1 million by offsetting against debts with the equity convertible bonds issued by the Company in May 2015 (see Section 2.2.4 (Liquidity and Capital Resources) of this Registration Document).,0
371,"They may change or be modified due to uncertainties related in particular to the economic, financial, competitive and regulatory environment.",0
372,"The feedback provided was consolidated in a report, which was submitted – along with action items recommended by the Nomination Committee – to the Supervisory Board for its discussion and the adoption of measures.",0
373,"In early 2018, an accredited consultant on Greenhouse Gas Emissions Audits (referred to here by its French acronym “BEGES”) conducted an analysis of the offices in Paris, London, Brussels, Milan and Singapore.",1
374,"The Company has found that the issue of share awards to executives and employees has been a very useful tool in motivating and retaining key staff, and the Board intends to continue to maintain a flexible approach to share incentives and to seek to encourage significant employee ownership.",0
375,"In addition, the Group maintains unfunded contributory post-employment medical plans for a number of current and retired employees who are mainly located in the United States.",0
376,"As a result, the Board’s views on diversity principles are aligned with those expressed in the Hampton-Alexander Review regarding the proportion of women on boards and also the Parker Review about ethnic representation on boards, amongst other published commentaries.",0
377,Borrowings include operational borrowings attributable to shareholder-financed operations and other borrowings attributable to the With-Profits Fund.,0
378,"The score is an indicator of how we measure, disclose and manage our carbon emissions footprint.",0
379,Documents on display The terms and conditions of all Directors’ appointments are available for inspection at the Company’s registered office during normal business hours and at the AGM.,0
380,"Officer functions (Group Legal, Group Communication, Group Human Resources) and Group Chief Risk Officer expenses.",0
381,Our business is built on trust and we don’t take that lightly.,0
382,We have also made good progress towards pivoting the entire business towards sustainability.,0
383,Sustainability and Environmental Social Governance (ESG) risk has also been a key area of focus.,1
384,"Our plans to optimise and simplify our processes in the interests of our customers, business partners and employees will enable us to identify further opportunities for growth for the good of our business and to the benefit of the community.",0
385,These changes in the fair value of the guarantees will be reflected in Other Revenues.,0
386,Investments in companies whose performance is more strongly linked to consumer demand mitigate the effects of business cycles on the value of the portfolio.,0
387,"Carbon footprint of the diversified equity funds Tikehau Capital commissioned Trucost to carry out carbon benchmarks thanks to low exposure to the most polluting assessments of its main liquid funds at 31 December 2018. sectors (energy, materials, industries).",0
388,In particular we have seen continued growth in our DC Fiduciary model where we are the first provider to deliver a three year track record in this important arena.,0
389,Health represents a small proportion of SCOR Global Life’s portfolio.,0
390,Each member of the Supervisory Board should be able to build productive partnerships with key constituents including fellow Supervisory and Executive Board members.,0
391,"The new fee that will apply from the appointment date will be £525,000 per annum.",0
392,"We think giving people what they need from their homes now and in the future makes sense for the environment, for our business, and for our customers, who include millions of pensioners, savers and Prudential policyholders.",0
393,Consideration of individual performance The Committee considered performance assessments for the Executive Directors and concluded that the formulaic outcome of the STI was appropriate in the context of their personal contribution over the performance period.,0
394,"As such, Tikehau IM Asia and IREIT Global Group are subject to the laws, regulations, guidelines and recommendations laid down by MAS.",0
395,"In 2018, attendance fees were paid to him in respect of his duties as member of the Supervisory Board in 2017.",0
396,There will be only minor changes to the current accounting for lessors.,0
397,It will remain flexible in adding risk to the portfolio from both public and private markets as and when it sees value.,0
398,We attach particular importance to nurturing a corporate culture in which loyalty to the Company can prosper.,0
399,The Syndicated Credit Agreement provides for the option for each lender not to finance its participation of any possible drawdown and to terminate its commitment in the event of a change of control of the Company.,0
400,We also launched a green energy switching service for our UK colleagues.,0
401,These broadly align to the orderly 2°C scenario and a 4°C scenario.,0
402,The spend was split between a 4.25% budget for the majority of the workforce and 3% for those in senior management positions (with some variation in our international locations to reflect market conditions).,0
403,"We operate an International Sharesave in all other locations, providing the same opportunity as the UK Sharesave, subject to the rules/regulations that apply in each location.",0
404,This analysis enables us to assess the exposure of our portfolio to climate risk on a forward-looking basis using various scenarios.,0
405,Flagship programmes (urban regeneration; economic empowerment; and skills and education) support all our strategic priorities.,0
406,"While the US is still expected to show positive growth, the Eurozone is likely to achieve only a slight positive expansion in 2020.",0
407,"Like a stock corporation, the share capital of a KGaA is held by its shareholders.",0
408,"As outlined in the Company’s Prospectus at the time of the IPO, before the Company’s fifth Annual General Meeting in 2024, the Board will formulate and submit proposals (which may constitute a tender offer or other method of distribution) to provide Shareholders with an opportunity to realise the value of their Ordinary Shares at Net Asset Value per Ordinary Share less costs.",0
409,The Audit Committee reviews the Annual Report as a whole and makes recommendations to the Board.,1
410,"Local and responsible production – Buoyed by its new technology, Carbonex has been able to relocate the production of wood charcoal and briquettes in France, improve quality control, significantly reduce the use of fossil energy and avoid deforestation.",0
411,"As a business regulated by the UK Financial Conduct Authority, we hold prudent levels of capital resource in order to ensure our financial stability.",0
412,All plan assumptions that have an impact on cash are included in the projection of financial resources.,0
413,"Regarding the estimate of the long-term results of the selected portfolio companies, we verified that this estimate had been derived from the individual company projections and had been approved at the level of the portfolio company by the latter’s supervisory body.",0
414,We have a zero waste to landfill commitment for our UK offices where we have operational control and promote this as best practice for all other offices.,0
415,"The Nomination Committee continues to lead transparent selections, with weight given to gender, ethnicity and diversity of thought.",0
416,The change in the balance of deferred tax assets and deferred tax liabilities does not equal the deferred tax expense/(benefit).,0
417,SASB The Sustainability Accounting Standards Board is an ESG guidance framework that sets standards for the disclosure of financially material sustainability information by companies to their investors.,1
418,Our M&G plc Supply Chain Modern Slavery Business Standard supports the management of Modern Slavery risk and how we approach third party supplier relationships.,0
419,"The review concluded that the Directors’ qualifications, effectiveness, performance and contribution to the Board are of a high standard.",1
420,"Options exercised in the context of a full donation for a total amount of EUR 1,174,495.9.",0
421,"In fulfilling its supervisory tasks, it monitored the General Partner and advised the Executive Board.",0
422,"Thus, in the event of the poor performance of the assets of funds that have employed leverage, the relevant funds and their shareholders or unitholders could see their position adversely affected by the existence of financing and the lending banks’ priority rights on the assets and income concerned.",0
423,"Waste We aim to reduce the volume of waste each of our offices generate, maximise recycling rates and minimise the amount we send to landfill.",0
424,It defines the high-risk and excluded sectors and behaviours.,0
425,"An example is our investment in Storegga Geotechnologies, which you can read more about on page 39.",0
426,The number of shares definitively acquired is based on the performance of a level of published revenues from the Group's Asset Management business as at 31 December 2019.,0
427,Our approach to scenario modelling is to incorporate bottom-up analysis (derived from security specific data) into a scenario parameterised in a topdown fashion.,0
428,"Through our second line assurance responsibilities, we’re ensuring that internal controls remain effective and that internal audit is providing strong third line assurance.",1
429,"Forward-looking statements therefore speak only as of the date they are made, and we undertake no obligation to update publicly any of them in light of new information or future events.",0
430,Nature and purpose Amendment dated 20 December 2018 to the service agreement between your company and the company Parc Monceau SARL on 29 March 2017.,0
431,The expected credit loss model (ECL) is applicable to DWS Group.,0
432,"Under the equity method, the Group’s share of profit or loss of its joint ventures and associates is recognised in the income statement and its share of movements in other comprehensive income is recognised in other comprehensive income.",0
433,"Except for the employee representatives, the members of the Supervisory Board are elected by the shareholders of DWS KGaA at the General Meeting.",1
434,"Under a £107 million and two £53.6 million revolving loan facilities between the Company and the bank named therein as lender (Lender) dated 27 March 2019 (the Facility), in the event that any person or group of persons acting in concert directly or indirectly gains control of the Company and its subsidiaries, then the Lender may elect within a prescribed time frame to be replaced by a new lender, or to cancel its commitment, under the Facility whereupon the Company shall be required to repay each loan made to it, together with accrued interest and all other amounts accrued under the Facility, which shall in each case be immediately due and payable, on the last day of the interest period for that loan.",0
435,"The Company indirectly holds 18,878,569 ordinary shares in P-Solve Holdings Limited which carry 100% of the voting rights.",0
436,"The effects of the compensation systems on risk, capital and liquidity management shall be assessed and it shall be ensured that the compensation systems and the group-wide compensation strategy – in consideration of the corporate culture – are aligned to achieving the objectives set out in the business and risk strategies of DWS Group.",0
437,Dr Woehrmann has also assumed the responsibility for setting the overall DWS Group ESG and Sustainability strategy.,1
438,"As set out on page 77 of the Strategic Report, M&G plc faces the potential risk of the facilitation of financial crime and continues with the programme of work to ensure that the controls that operate across the Group are sufficiently comprehensive and resilient to mitigate this risk in line with relevant legal and regulatory requirements, and complete any necessary remediation where appropriate.",1
439,The largest suppliers in the period have been professional service firms.,0
440,Details of the Committee Members’ experience are given in the biographical information on page 38.,0
441,"The valuation guidelines set out further details on IPEVG provisions, insofar as the latter are vague or undefined, in order to allow them to be applied in intersubjectively clear terms to DBAG.",0
442,"In light of these Court rulings, at 31 December 2021 and 31 December 2020, the Group has recognised an estimated allowance for GMP equalisation within the IAS 19 valuation for all the UK schemes – comprising £43m for PSPS, £20m for SASPS, and £6m for M&GGPS as at 31 December 2021 (2020: £48m for PSPS, £21m for SASPS and £6m for M&GGPS).",0
443,"In the medium to long term, our operations and investment portfolios will be exposed to physical risks resulting from extreme weather events and to the impact of climate change on other environmental systems such as biodiversity and water, and through them on health, living standards and social stability.",0
444,"Executive Directors are eligible to participate in UK all-employee share plans, which currently comprises HMRC-approved Sharesave and SIP plans, on the same terms as other employees.",0
445,"Appointment of Proxy by Joint Shareholders In the case of joint shareholders, where more than one of the joint shareholders purports to appoint one or more proxies, only the purported appointment submitted by the most senior holder will be accepted.",0
446,"This independent spirit has forged an investment culture of conviction, sometimes going against market trends, in keeping with the desire of Tikehau Capital to provide enhanced added value for its investor clients.",0
447,"In the disorderly 2°C scenario, downside impacts to asset values are initially mild but then become greater after 2030, as greater investment is needed to adapt to climate change.",0
448,"Supporting our ambition to build the most inclusive culture, our colleagueled diversity networks provide invaluable support and networking opportunities for our people globally.",0
449,"As a result, there was no material impact from climate on our key audit matters.",1
450,Our focus on client outcomes aligns us with our clients and results in a business with low attrition rates.,0
451,"The Chief Human Resources and Director of Public Policy and Regulation retired at the end of 2021 and, as of 1 January 2022, the new combined role of Chief People and Corporate Affairs Officer was created as an Executive Committee member.",0
452,"Remuneration philosophy The Group’s remuneration philosophy is based on rewarding people for their individual performance, their division’s performance and the overall performance of the Group.",0
453,"The acquisition of Sofidy has enabled Tikehau Capital to expand its range of Real Estate funds and thus improve its business mix, to reach out to new investor categories and extend its know-how in the field of Real Estate investment solutions thanks to the strong synergies between the two groups.",0
454,"In addition, the Supervisory Board concurred with the proposal of the Executive Board for the appropriation of distributable profit and resolved the Report of the Supervisory Board.",0
455,Employees of the Real Estate activity 19 (excl.,0
456,"Specialised in plant chemistry, since 1932, the DRT group has developed rosin and turpentine extracted from pine resin.",0
457,"The Whistleblowing policy is supported by our Speak Out programme that includes different reporting channels, such as EthicsPoint which is a confidential reporting system provided by an independent external service provider.",1
458,"The Managers, with the power of sub-delegation under the conditions provided by law, enjoy the broadest powers to decide and implement said authorisation, to specify, if necessary, its terms, and the procedures for executing the share buyback and, in particular, to place any market order, enter into any agreement, allocate or reallocate the acquired shares to purposes allowed under applicable law and regulations, set the procedures for ensuring, where applicable, the rights of holders of securities giving access to equity or other rights giving access to equity in accordance with legal and regulatory provisions and, where applicable, enforce contractual clauses providing for other cases of adjustment, to make any disclosures to the AMF or any other competent authority and any other formalities and, generally speaking, to undertake any necessary actions.",1
459,Financial debt Financial debts are recognised at their historical cost.,0
460,"Within our equity portfolios, the assets that are exposed to greatest downside are our holdings in industrials, materials and energy, as companies operating in this sector are exposed to transition risk in the 4°C scenario, the sector most exposed to downside impacts is consumer discretionary, with industrials, materials and energy performing relatively better.",0
461,"Internally, presentations and training are delivered by Group employees and cover awareness on compliance, explanation of the various business lines and Group products, talent management (management, annual interviews, best recruitment and mentoring practice, welcome meetings for new recruits and business culture, etc.).",0
462,"We have updated the sustainability requirements in our Supplier Code of Conduct and now require all suppliers to have clear procedures in place to ensure direct and indirect environmental impacts associated with goods and services are understood, measured and managed.",1
463,"The audit partner was previously the engagement partner involved with the audit of PSG, P-Solve and RAMAM.",1
464,Similarly the remaining emissions will be offset.,0
465,"Total Eren held workshops on PV power, environmental protection and public health for local communities.",0
466,"The middle-office teams monitor, whenever the net asset value is published, that the valuation data used by the custodian comply with decisions taken and that all closing elements have been properly integrated.",0
467,"The Committee confirms that the non-audit work undertaken by the Company’s Auditor satisfies, and does not compromise, the tests of the Auditor’s independence, objectivity, effectiveness, resources and qualification.",1
468,The Board of Management knows of no other restrictions relating to voting rights or the transfer of shares.,0
